#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	5	2	3	3	1	2	4	1	6	5	1	4	8	4	6	3	11	3	2	4	4	7	4	1	3	4	2	0	155	0	0	1	4	2	3	0	2	1	2	1	0	0	1	0	3	0	1	3	0	0	0	0	0	0	0	0	5	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	2	1	0	0	0	0	0	0	0	0
ASV_46	3	27	8	1	3	2	4	0	0	3	3	201	1144	2	5	0	8	8	2	2	1	18	22	3	7	65	6	3	45	1	2	2	49	4	7	10	4	3	3	0	1	3	2	1	2	1	1	2	1	30	3	2	5	5	0	4	4	18	7	1	0	1	1	1	2	52	0	4	0	0	0	4	4	0	1	1	3	1	0	5	5	2	135	3	15	17	176	3	2	1	5	5	2	6	6	2	16	0	12	7	5	6	5	6	3	8	33	6	5	8	5	25	0	97	4	6	12	3	2	4	1	2	3	12	9	2	8	8	1	8	3	2	12	5	3	3	2	2	5	3	68	10	4	7	9	5	2
ASV_28	1	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	3	7	6	4	1	6	4	3	5	4	0	4	14	6	8	13	5	10	11	4	5	6	9	6	5	0	1	11	1	6	0	118	1	1	1	6	9	4	3	0	0	1	4	1	0	0	2	8	2	3	6	6	1	2	0	0	2	3	5	0	3	0	6	2	3	3	2	1	3	2	2	3	5	64	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	1	0	9	1	2	5	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	19	27	1	1	0	1	1	2	7	1	8	191	0	39	21	0	2	7	1	13	5	7	15	8	10	26	0	19	4	8	18	28	3	4	2	9	23	0	0	65	4	3	1	5	2	1	0	5	0	0	3	5	2	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1	5	2	0	4	1	0	2	0	16	4	2	0	0	0	2	0	6	0	2	0	0	0	1	0	6	0
ASV_34	8	4	5	0	0	0	4	0	0	0	0	1	1	29	11	0	0	2	0	3	0	2	2	0	2	0	0	2	0	0	1	0	1	1	0	0	0	1	613	1	11	2	3	6	5	3	5	1	1	2	2	3	2	14	7	7	14	14	10	5	12	14	10	7	4	9	4	5	1	0	0	0	0	7	1	5	3	2	2	56	22	1	0	17	1	2	2	4	2	1	5	1	0	0	0	0	15	0	1	1	1	0	1	0	3	4	0	1	3	1	2	0	0	1	0	0	0	15	1	0	0	0	0	5	0	2	1	4	2	0	0	8	7	1	4	0	2	6	1	0	0	2	0	0	0	0	1
ASV_41	1	1	9	8	9	83	14	7	4	5	2	1	11	13	16	79	9	6	3	9	6	0	4	0	3	10	3	2	10	2	6	5	3	1	5	6	6	0	0	0	0	1	29	9	0	1	3	18	3	0	2	2	0	1	0	1	0	0	0	1	0	1	1	2	0	2	2	0	0	0	1	0	0	2	0	1	0	20	1	0	0	1	0	0	0	1	0	0	0	2	0	1	0	3	0	4	2	2	3	2	0	0	1	2	6	8	4	2	1	5	1	25	6	3	13	0	6	0	1	2	7	0	0	0	0	4	66	1	0	1	15	2	0	2	0	16	3	4	3	1	7	18	1	4	20	17	3
ASV_33	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	2	205	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	3	1	4	0	0	0	0	4	1	0	1	2	0	1	5	1	0	0	0	0	0	1	1	0	0	1	1	0	0	45	50	0	7	1	32	38	27	70	26	19	0	29	25	15	28	832	20	31	38	1	28	14	35	20	16	20	9	14	0	2	0	4	2	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	2	2	0	0	3	2	1	6	0	0	3	4	0	13	1	6	7	10	7	0	7	4	5	4	2	4	3	6	1	0	0	0	1	2	2	4	1	2	1	0	1	0	0	0	1	3	1	13	907	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	0	0	1	0	1	0	5	3	3	2	3	4	2	2	1	1	6	3	2	1	2	3	4	125	0	0	0	0	1	1	1	1	0	0	1	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	7	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	11	0	0	0	2	2	8	4	1	39	12	2	10	10	0	27	5	4	2	4	1	7	29	11	4	0	8	8	35	10	3	10	5	8	79	12	1	22	6	10	4	2	2	1	1	6	3	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	0	7	0	0	9	8	0	47	0
