#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_12	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	52	43	61	79	69	60	70	58	132	0	78	46	47	42	41	29	41	40	40	64	0	54	38	58	47	28	57	40	37	102	260	0	30272	1653	40	48	43	69	44	35	63	65	0	2	77	49	90	44	35	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	30	21	26	24	30	45	27	58	17	28	0	44	24	29	25	27	22	38	21	20	19	0	17	9	14	13	25	30	73	17	44	244	0	83	32851	27	30	33	29	22	19	32	25	0	0	31	31	46	25	27	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_10	0	2	1	0	1	1	1	0	0	1	0	0	0	38	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	57	0	0	16	23	22	30	23	60	33	33	17	35	1	29	15	57	12	12	19	16	15	24	23	3	26	28	37	12	12	18	10	93	28443	22	0	156	95	10	21	18	22	19	10	24	12	0	0	23	9	18	18	17	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0
ASV_85	1	103	31	95	11	549	117	17	14	25	2	57	13	101	11	12	8	12	4	100	8	472	90	18	280	261	377	13	256	1039	38	169	1446	860	33	66	137	11	231	25	141	634	138	470	198	185	819	79	122	13	251	619	71	12	772	110	23	30	13	324	144	819	9	108	1595	22	11	160	2554	49	14	707	48	922	412	94	131	57	16	100	209	3	9	77	368	57	227	1852	1689	10	30	12	2	26	3	26	13	62	17	7	15	5	10	7	19	4	14	148	11	15	6	118	4	3	5	248	11	3	1	3	4	4	2	108	0	70	76	259	239	49	15	2	191	4	43	11	86	221	45	5	1	15	35	23	10	26	62
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	54	22	33	45	44	44	32	46	42	44	0	53	30	48	24	36	39	47	22	37	47	0	36	26	32	36	26	41	45	42	68	47	0	38	74	23	34	43	125	101	19	24142	32	0	0	203	15	66	30	40	45	0	0	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	3	0	0	0	2	0	0	0	1	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
ASV_39	3	29	377	764	57	11621	1295	100	115	86	34	212	44	46	106	76	42	29	32	47	67	175	3	20	37	34	48	7	46	38	203	76	89	42	63	279	101	44	1	0	0	0	4	1	1	0	1	0	174	0	116	2	0	1	0	0	0	1	34	158	0	1	0	2	0	0	1	0	3	6	32	3	2	0	2	0	1	2	0	2	0	2	2	0	4	2	51	5	40	5	51	3	12	18	1	6	22	27	15	14	6	4	28	6	14	41	4	149	7	11	3	75	0	3	305	35	73	3	5	0	1	204	3	52	4	48	8	3	33	37	4	10	55	0	25	4	43	64	86	2	1	78	112	118	33	382	6464
ASV_20	4	269	13	23	3	21	34	9	2	3	3	10	2	13	5	3	0	2	1	1	2	168	25	34	33	17	92	14	44	103	4	3	5	10	316	50	131	22	90	12624	306	229	5632	39	23	222	22	117	23	29	30	23	17	16	21	12	24	23	26	101	31	13	30	16	12	28	51	403	817	53	15	61	78	12	44	17	28	33	10	43	35	6	3	86	182	119	24	52	34	12	78	19	18	26	3	6	13	27	14	5	11	3	4	342	9	26	6	58	9	13	14	277	5	1	6	145	20	2	18	2	4	6	4	275	1	4	8	100	179	4	4	1	33	7	39	1	26	7	20	56	7	2	108	4	3	5	24
ASV_17	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	15	34	23	119	19	84	26	120	45	23	2	54	14	12	26	9	10	15	7	19	14	0	12	89	14	18	25	47	15	15	31	23757	1	275	142	13	11	12	12	17	12	15	16	0	0	14	7	24	14	18	26	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	14	363	38	26	21	156	63	91	914	60	8	39	19	11	112	30	21	15	120	17	27	43	27	519	22	15	19	128	11	15	69	28	25	13	31	14	16	208	2	17	6	23	26	1030	7	5	82	5	133	2	5	1	0	3	2	4	1	1	4	148	2	1	0	1	0	2	0	2	24	5	722	5	10	3	4	2	3	1	3	8	16	58	197	8	8	14	12	9	3	441	114	47	221	62	20	28	822	36	76	34	193	52	39	103	48	85	35	133	65	44	26	255	2	0	12244	39	195	139	3	14	4	4	2	237	6	54	23	7	66	6	8	7	317	158	58	17	13	21	32	17	7	18	509	28	15	12	49
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	29	35	28	30	55	38	37	20	47	0	39	29	16	20	11	13	26	12	12	15	0	31	10	19	20	13	46	14	16	69	92	0	64	21343	23	16	24	36	23	14	35	26	0	0	28	10	76	28	28	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	1	0	0	3	1	0	0	0	0	2	0	1	1	1	0	2	3	0	0	0	1	0	0	0	0	0	0	1	1	0	122	1	5	0	0	0	0	0
