SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
Q1	524	879.194174757282	925.093623730403	4.81182997974918	0.940563657684014	16.8247230740347
Q10	463	977.223880597015	923.683856551333	4.63480996875996	0.960832979191329	25.5316840380826
Q100	436	789.614285714286	804.957485361398	5.07417084992174	0.986101514921855	71.9502877023953
Q101	314	605.725490196078	636.958136317605	3.49981592130676	0.828712748833191	5.83814611530047
Q102	330	647.1875	646.635993477484	4.26905836020882	0.953201645202716	21.3682725457273
Q103	200	344.030303030303	368.415805192987	3.38577934269106	0.909469679709941	11.0460229986595
Q104	394	651.878787878788	669.401979677942	4.91529437412233	0.97954609069073	48.8904094019231
Q105	405	645.012820512821	689.768020728449	4.84142203783425	0.977346845594396	44.1439625623448
Q106	275	443.478260869565	458.795135540555	4.24724950950444	0.962439404520681	26.6236460641472
Q107	352	608.666666666667	647.285971219356	4.63838242242202	0.972635904512777	36.5442373370941
Q109	343	717.133333333333	694.05279089874	4.48103605733974	0.967960765095516	31.2117315841412
Q11	427	823.164383561644	907.951082321446	4.5702927474312	0.961505306550589	25.9776065320321
Q110	247	526.375	559.364094404667	2.60425636362521	0.686204921287484	3.18679312659378
Q111	538	912.01	988.038685723475	5.45587246142104	0.990737597977996	107.96335525325
Q112	409	777.571428571429	762.326564275356	4.62175708026957	0.953269063921314	21.3991005512109
Q113	319	661.765957446808	668.054164668446	4.14463481489244	0.955324637403533	22.3837019305823
Q114	482	815.488372093023	875.483889863978	5.19035393705695	0.98225399839497	56.350721827757
Q115	489	802.20618556701	873.274631786979	4.9837333732814	0.9738712944115	38.2720834223076
Q116	309	598.714285714286	630.492981169956	3.98684621984361	0.941602835863783	17.1241192066689
Q117	439	826.253521126761	838.135625176765	4.70263715523565	0.959746375430201	24.8424833958995
Q118	422	800.362068965517	749.586531228831	5.03677677914442	0.982654791053118	57.6528079345932
Q12	446	903.684931506849	942.742115582733	4.38052895134417	0.92728960942709	13.7531925233884
Q13	464	982	948.615408642331	5.04215797526411	0.982132644701493	55.9679920891017
Q14	157	412.047619047619	416.793307036437	1.34773197046422	0.369219309836902	1.58533705231439
Q147	366	829.78431372549	825.166720572158	3.62023204433663	0.819013287532001	5.52526749816958
Q148	361	672.387096774194	756.132221704788	4.33530877562063	0.95072249618503	20.2932357076135
Q149	394	689.588235294118	751.357116907123	4.82997422984397	0.977429607883433	44.3058319428136
Q15	545	1010.46391752577	1092.20693220645	5.29032960675852	0.984768949077015	65.6553513645522
Q150	413	802.275862068966	774.914394450907	4.93466251101028	0.981085562258164	52.8696656833825
Q151	261	411.065217391304	426.700553752726	3.75877831744338	0.904337487876255	10.4534156358599
Q152	284	726.964285714286	594.926246977443	4.03820745790303	0.943504973641606	17.7006732177835
Q153	285	531.195652173913	562.19618847887	4.06563358377919	0.960037438311872	25.0234208658623
Q155	305	574.642857142857	534.330089681822	4.09581664674811	0.924454768549214	13.2371028693115
Q156	343	694.56	722.796795657291	4.32328421583241	0.958642568271914	24.1794511461624
Q157	354	542.614285714286	586.028646753223	4.46539930488978	0.957870740183137	23.7364720943836
Q158	407	740.405797101449	796.478489143288	4.86589382691792	0.982367447824886	56.7132874508873
Q159	471	819.185185185185	848.148551144091	5.1078367871209	0.98426400612255	63.5485758184612
Q16	435	763.631578947368	802.194628639554	5.03836735485914	0.984211930974391	63.3389680763341
Q160	225	476.25	536.554587760429	3.0351944804402	0.86861905076304	7.61145360729883
Q161	321	778.1875	895.042022702504	2.71525853757605	0.641462139972419	2.78910573048847
Q162	467	853.346153846154	869.113354201003	5.01886826523037	0.980281652158468	50.7141880261265
Q163	449	809.012658227848	865.578797349923	4.80269188167472	0.970198136639609	33.5549488267599
Q164	293	659	768.40657571511	3.43419121266702	0.885800130001888	8.75657739379677
Q165	445	773.513888888889	784.387464287946	5.09309141834385	0.984062679880116	62.745806225749
Q166	459	871.828947368421	915.025364098986	4.91297545552438	0.977495166775312	44.434899384323
Q167	245	548.363636363636	565.35150722523	3.61504426024949	0.918942242151299	12.3368820769328
Q168	411	910.52	839.485941950604	4.91757337774665	0.983161128877623	59.3864037994257
Q169	390	699.230769230769	750.336930953369	4.77520496029038	0.979853427056201	49.6362335564274
Q17	430	908.5625	963.84347157137	4.7100866477722	0.969035279982964	32.2948180848987
Q170	343	640.22641509434	659.336448693847	4.60312923431366	0.976598265339618	42.7318749875822
Q171	479	821.032967032967	920.025295928323	4.98777835118053	0.976512713310501	42.5762248836979
Q172	448	880.397058823529	874.72464010673	4.47550634927136	0.92291529698178	12.9727424618039
Q173	449	757	824.654723139863	4.92481125750341	0.980095669486474	50.2403232965031
Q174	555	959.628571428571	1022.21610191377	5.39462752649214	0.989001449734928	90.9210737687592
Q175	423	783.753424657534	862.673581058196	4.62888237860874	0.966658886391555	29.9929993864004
Q176	474	924.857142857143	994.082528852839	4.97752471953747	0.976385315180185	42.3465317293115
Q177	631	1130.50892857143	1190.87083404377	5.78495054092325	0.994089005727336	169.176276252655
Q178	582	963.491379310345	1066.45707391601	5.52252187325257	0.988898694308651	90.0794940526051
Q179	488	935.325301204819	1001.24104997784	5.09056278704024	0.983552622402171	60.7999660767795
Q18	575	1069.14705882353	1147.72628335341	5.44540845314949	0.98927251947936	93.2185332871013
Q180	550	1016.29032258065	1057.03800920977	5.44365635151117	0.990415847955446	104.338912336875
Q181	456	788.413793103448	864.924964765641	4.74773568797601	0.956818078259649	23.1578391997674
Q182	525	903.28125	983.202236570703	5.379275846496	0.989685401011188	96.9499639379733
