SampleID	Longitude	Latitude	Altitude	Biome	MAT_k10	AI
Q148	92.86986111	31.81689352	4298	Meadow	0.305363387	0.4171
Q149	92.89479722	31.83356481	4310	Meadow	0.330918729	0.4228
Q150	92.89758056	31.81689352	4340	Meadow	0.366957784	0.4452
Q151	92.90115	31.83356481	4314	Meadow	0.350637555	0.4273
Q152	93.95150833	31.9169213	4115	Meadow	2.061294317	0.5365
Q153	93.54172222	31.83356481	4478	Meadow	1.542769432	0.6524
Q155	92.90159444	31.83356481	4331	Meadow	0.350637555	0.4273
Q156	91.33416667	31.50013889	4662	Meadow	-1.503039122	0.3658
Q157	91.06728056	31.48346759	4602	Steppe	-1.515148759	0.3524
Q158	90.67263056	31.40011111	4671	Steppe	-1.095442533	0.3521
Q159	90.41655278	31.40011111	4654	Steppe	-0.929186285	0.3389
Q160	90.11264722	31.40011111	4748	Steppe	-0.719487786	0.3866
Q161	89.978275	31.13337037	4901	Steppe	-0.078222729	0.3571
Q162	90.00738056	31.41678241	4747	Steppe	-0.664311171	0.3628
Q163	89.31203611	31.96693519	4590	Steppe	-0.582510233	0.2911
Q164	88.68950278	32.15004167	4574	Steppe	0.860382497	0.2539
Q165	88.32537778	32.08335648	4601	Steppe	0.823583722	0.232
Q166	87.86801389	31.8835787	4547	Steppe	0.405336767	0.2126
Q167	87.19606111	31.86690741	4513	Steppe	0.64225477	0.1724
Q168	87.24920556	31.78355093	4544	Steppe	0.569926739	0.1694
Q169	86.57085278	31.9169213	4656	Steppe	0.823825538	0.1265
Q170	85.30155	32.18338426	4560	Steppe	0.985335231	0.0743
Q171	84.93728056	31.90025	4792	Steppe	0.988785326	0.0855
Q172	84.85283333	32.08335648	4461	Steppe	0.747629225	0.07
Q173	84.56710556	32.18338426	4508	Steppe	0.598126531	0.0653
Q174	84.12060833	32.28341204	4444	Steppe	0.553004861	0.0585
Q175	84.10255	32.31675463	4446	Steppe	0.580913305	0.0562
Q176	84.16706667	32.38343981	4494	Steppe	0.604773998	0.057
Q177	84.1793	32.40011111	4508	Steppe	0.616119504	0.0561
Q178	84.25937222	32.55015278	4622	Steppe	0.713978052	0.0553
Q179	84.04595833	32.93359259	4725	Steppe	0.973239124	0.0505
Q180	84.20081389	32.80022222	4694	Steppe	0.879998863	0.0513
Q181	84.25145278	32.63350926	4655	Steppe	0.767320156	0.0562
Q182	84.00010833	32.20005556	4600	Steppe	0.569065154	0.0644
Q183	83.98241944	32.16671296	4799	Steppe	0.59803772	0.0654
Q184	83.46194167	32.36676852	4567	Steppe	0.892541468	0.0582
Q185	83.30125833	32.40011111	4496	Steppe	0.975941002	0.0577
Q186	82.56268611	32.51681019	4390	Steppe	1.277965188	0.0541
Q187	82.41412222	32.30008333	4647	Steppe	1.653496385	0.065
Q188	81.66860556	32.16671296	4896	Steppe	1.810441971	0.0914
Q189	81.35485278	32.18338426	4680	Steppe	1.771584988	0.0914
Q190	81.18388333	32.35009722	4538	Steppe	1.670458555	0.0732
Q191	80.75056667	32.51681019	4469	Steppe	1.466150999	0.0658
Q192	85.76650833	29.80022222	5165	Steppe	3.564163446	0.1985
