,Q1,Q10,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q109,Q11,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q12,Q13,Q14,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q17,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q19,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q2,Q20,Q200,Q201,Q202,Q203,Q204,Q205,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q3,Q30,Q31,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q44,Q46,Q48,Q49,Q5,Q56,Q58,Q59,Q62,Q63,Q67,Q69,Q7,Q71,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q89,Q9,Q90,Q92,Q98,Q99
Q2,0.34,0.99,0.93,1,0.94,0.92,0.95,0.94,0.87,0.4,0.84,0.99,0.82,0.98,0.73,0.9,0.96,1,0.72,0.8,0.97,0.97,0.99,0.99,0.9,0.76,0.82,0.61,0.96,0.86,0.76,0.7,0.81,0.71,0.98,0.96,0.97,0.5,0.93,0.98,0.99,0.99,0.98,0.99,0.96,0.99,0.99,1,0.95,0.97,1,0.97,0.98,1,1,0.8,0.99,1,0.97,0.97,1,1,0.94,0.99,0.99,1,0.99,0.98,0.25,1,0.84,0.94,1,0.8,0.97,0.91,0.99,0.99,0.85,0.95,0.78,0,0.51,0.85,0.98,0.98,0.96,0.98,0.87,-0.04,0.91,0.98,0.23,0.86,0.86,0.97,0.57,0.96,0.84,0.28,0.58,0.72,0.18,0.89,0.97,0.9,0.68,0.82,0.88,0.58,0.38,1,0.83,0.65,0.9,0.87,0.61,0.77,0.81,0.76,0.97,0.96,0.97,0.83,0.63,0.96,0.95,0.99,0.99,0.98,0.98,0.53,0.98,0.8,0.96,0.89,0.92,0.99,0.67,0.85,0.93,0.89,0.97,0.98,0.98,0.98,0.92
Q20,0.79,0.87,0.87,0.95,0.86,0.77,0.79,0.93,0.82,0.79,0.94,0.87,0.77,0.57,0.32,0.84,0.86,0.93,0.39,0.31,0.86,0.61,0.96,0.96,0.72,0.6,0.09,0.18,0.79,0.58,0.68,0.83,0.25,0.39,0.96,0.8,0.89,-0.56,0.62,0.92,0.9,0.99,0.83,1,0.83,0.93,0.97,1,0.58,0.91,0.96,0.93,0.98,0.99,0.99,0.79,0.95,0.98,0.95,0.86,0.99,0.96,0.89,0.97,0.86,0.94,0.99,0.84,-0.28,0.99,0.72,0.69,1,0.65,0.85,0.69,0.98,0.98,0.66,0.84,0.43,0.51,0,0.72,0.96,0.92,0.8,0.97,0.68,-0.31,0.7,0.9,0.6,0.34,0.74,0.73,0.74,0.92,0.52,0.47,-0.2,0.71,0.97,0.72,0.92,0.58,0.89,0.46,1,0.27,-0.67,0.98,0.72,0.26,0.57,0.72,-0.19,0.96,0.82,0.81,0.75,0.92,0.95,0.56,0.42,0.95,0.74,0.99,0.98,0.74,0.94,0.96,0.96,0.73,0.53,0.84,0.72,0.97,0.41,0.98,0.85,0.87,0.79,0.9,0.95,0.87,0.78
Q200,0.96,0.42,0.44,0.77,0.92,0.11,-0.03,0.78,0.06,0.87,0.93,0.99,0.71,0.92,-1,0.89,0.62,-0.76,0.92,-0.16,-0.39,0.89,0.99,0.26,0.67,-1,-0.25,0.32,0.55,0.36,0.62,0.6,-0.25,-0.32,0.97,0.94,0.97,0.35,0.56,0.94,0.98,0.16,0.81,0.99,0.89,0.79,0.95,0.9,0.84,-0.86,1,0.96,0.98,1,0.71,0.03,0.97,0.97,0.51,0.7,0.99,0.96,0.59,0.99,0.46,0.91,0.98,0.78,-0.43,0.74,0.99,0.75,0.98,0.17,0.58,-0.91,-0.36,0.97,-0.81,0.49,-0.24,0.85,0.72,0,0.97,0.95,0.58,0.39,-0.98,0.34,0.98,1,0.93,0.65,0.93,0.98,0.99,0.96,0.87,0.9,0.79,0.82,0.97,0.92,0.95,0.78,0.86,0.48,0.99,0.51,0.69,0.99,0.78,0.24,0.71,0.91,0.56,0.99,0.89,0.98,0.82,0.99,0.99,0.78,-0.02,0.99,0.99,0.99,0.98,0.83,0.99,0.96,0.99,0.96,0.99,0.94,0.62,0.98,0.2,0.96,0.95,0.94,0.99,0.91,0.85,0.7,0
Q201,0.88,0.89,0.58,0.96,0.98,0.61,0.93,0.88,0.85,0.95,0.98,0.95,0.86,0.99,0.79,1,0.98,0.97,0.94,0.9,0.99,0.63,0.95,0.99,0.94,0.91,0.83,0.93,0.9,0.95,0.99,0.93,0.95,0.9,0.97,0.97,0.9,0.45,0.94,0.97,0.96,0.91,0.87,0.99,0.76,0.74,0.92,0.97,0.55,0.95,1,0.81,0.97,0.99,0.97,0.68,0.99,0.98,0.93,0.56,0.99,0.9,0.85,0.99,0.95,0.91,0.96,0.97,0.25,0.97,0.98,0.82,0.99,0.94,0.92,0.91,0.95,0.9,0.84,0.92,0.86,0.98,0.96,0.97,0,0.87,0.98,0.98,0.6,0.94,0.88,0.95,0.95,0.65,0.86,0.97,0.96,-0.01,0.97,1,1,0.89,0.99,0.91,0.89,0.81,0.99,0.47,1,0.99,0.91,0.99,0.54,0.89,0.7,0.81,0.68,1,0.64,1,0.83,0.81,0.91,0.79,0.31,0.77,0.8,0.98,0.61,0.74,0.66,0.99,0.79,0.95,0.63,0.78,0.32,0.65,0.21,0.72,0.91,0.61,0.84,0.92,0.99,0.98,0.87
Q202,0.91,0.96,0.93,0.99,0.64,0.8,0.7,0.95,0.87,0.73,1,0.98,0.78,0.96,0.88,1,0.94,0.99,0.95,0.96,0.99,0.86,0.6,0.6,0.99,0.95,0.98,0.98,0.95,0.98,0.99,0.94,0.97,0.83,0.92,0.92,0.88,0.73,0.94,0.64,0.92,0.9,0.94,1,0.7,0.76,0.85,0.79,0.98,0.9,0.93,0.81,0.95,0.96,0.86,0.74,0.9,0.84,0.83,0.92,0.97,0.85,0.77,0.89,0.81,0.92,0.96,0.67,0.08,0.98,0.98,0.79,0.98,0.89,0.68,0.79,0.87,0.63,0.91,0.85,0.78,0.98,0.92,0.95,0.87,0,0.98,0.98,0.81,0.91,0.98,1,0.9,0.88,0.93,0.98,0.95,0.74,0.97,0.98,0.99,0.81,0.99,0.97,0.88,0.87,0.99,0.96,0.99,0.99,0.95,0.99,0.83,0.96,0.89,0.86,0.78,0.98,0.5,0.94,0.82,0.3,0.89,0.68,0.47,0.92,0.52,0.95,0.99,0.92,0.96,0.98,0.93,0.93,0.91,0.7,0.91,0.96,0.9,0.91,0.97,0.89,0.95,0.98,0.96,0.98,0.84
Q203,0.95,0.84,0.4,0.55,0.83,-0.19,0.44,0.47,-0.05,0.78,0.93,0.98,0.64,0.93,0.31,0.93,0.68,0.64,0.71,0.37,0.67,0.95,1,0.88,0.07,0.19,0.26,0.91,0.63,0.85,0.67,0.54,0.25,0.25,0.88,0.92,0.99,0.76,0.59,0.8,0.97,0.81,0.77,0.99,0.91,0.84,0.94,0.95,0.92,0.3,0.97,0.98,0.99,1,0.79,0.1,0.91,0.95,0.6,0.81,0.99,0.93,0.57,0.99,0.57,0.84,0.98,0.89,-0.35,0.93,1,0.44,0.99,0.58,0.64,0.24,0.69,0.98,0.32,0.68,0.49,0.96,0.8,0.58,0.98,0.98,0,0.5,0.47,0.88,0.94,0.98,0.91,0.69,0.98,0.97,0.98,0.94,0.79,0.89,0.93,0.85,1,0.93,0.98,0.87,0.97,0.94,0.99,0.82,0.86,1,0.79,0.55,0.52,0.96,0.54,0.99,0.93,0.81,0.92,1,1,0.69,0.06,0.99,0.99,0.99,0.98,0.71,0.96,0.99,0.99,0.93,0.98,0.9,0.45,1,0.5,0.99,0.99,0.91,0.98,0.92,0.8,0.68,-0.18
Q204,0.97,0.76,0.5,0.83,0.97,-0.05,0.33,0.83,0.33,0.9,0.99,1,0.89,0.97,0.39,0.99,0.77,0.73,0.95,0.74,0.72,0.95,1,0.76,0.8,0.33,0.48,0.97,0.72,0.93,0.98,0.83,0.47,0.46,0.98,0.97,0.98,0.88,0.71,0.95,0.98,0.66,0.86,0.99,0.83,0.85,0.95,0.92,0.97,0.08,0.99,0.98,0.96,1,0.75,0.14,0.95,0.96,0.63,0.92,0.99,0.93,0.53,0.98,0.4,0.85,0.96,0.91,0.15,0.86,0.99,0.7,0.99,0.8,0.64,0.31,0.45,0.99,0.19,0.81,0.67,0.98,0.97,0.39,0.98,0.98,0.5,0,0.3,0.97,0.99,0.99,0.96,0.87,0.95,1,0.98,0.96,0.98,0.98,0.99,0.89,1,1,0.99,0.99,0.96,0.98,1,0.98,0.97,1,0.85,0.8,0.85,0.95,0.86,1,0.96,0.97,0.94,0.99,1,0.94,-0.04,0.99,0.99,0.94,0.98,0.73,0.97,0.96,0.99,0.97,0.99,0.94,0.82,0.99,0.59,0.98,0.99,0.9,1,0.99,0.98,0.97,-0.04
Q205,0.91,0.28,0.42,0.74,0.98,-0.05,-0.02,0.79,0.41,0.81,0.98,0.97,0.64,0.98,-0.98,0.98,0.78,-0.4,0.93,0.17,-0.21,0.52,0.97,0.52,0.84,-0.96,0.13,0.62,0.61,0.79,0.89,0.84,0.31,-0.15,0.95,0.93,0.81,-0.06,0.54,0.88,0.93,0.15,0.83,0.98,0.57,0.64,0.92,0.64,0.83,-0.85,0.99,0.78,0.92,0.98,0.69,0.21,0.9,0.94,0.51,0.36,0.97,0.87,0.48,0.98,0.14,0.73,0.98,0.59,-0.59,0.85,0.98,0.7,1,0.45,0.64,-0.96,-0.3,0.84,-0.88,0.47,0.21,0.87,0.68,-0.98,0.6,0.81,0.47,0.3,0,0.75,0.85,0.98,0.88,0.11,0.9,1,0.93,0.02,0.85,0.93,0.93,0.74,0.99,0.87,0.93,0.76,0.95,0.02,0.98,0.89,0.77,1,0.26,0.59,0.75,0.37,0.16,1,0.79,0.92,0.84,0.93,0.83,0.45,-0.69,0.86,0.75,0.98,0.95,0.26,0.89,0.96,0.77,0.94,0.82,0.63,0.1,0.87,-0.43,0.86,0.92,0.83,0.79,0.9,0.98,0.79,0.07
Q21,0.55,0.9,0.78,0.88,0.9,0.51,0.8,0.66,0.63,0.59,0.85,0.94,0.76,0.83,0.06,0.82,0.68,0.93,0.58,0.39,0.76,0.67,0.96,0.93,0.68,0.25,-0.33,-0.74,0.87,-0.34,0.31,0.42,-0.32,-0.13,0.95,0.79,0.9,-0.63,0.74,0.87,0.96,0.99,0.81,0.98,0.82,0.91,0.97,0.99,0.75,0.88,1,0.93,0.95,1,0.97,0.55,0.98,0.96,0.97,0.81,0.97,0.98,0.92,1,0.9,0.97,0.97,0.88,-0.44,0.97,0.45,0.81,1,0.05,0.81,0.8,0.96,0.97,0.62,0.85,0.11,-0.04,-0.31,0.34,0.94,0.91,0.88,0.97,0.75,0,0.85,0.9,0.11,0.16,0.53,0.65,0.63,0.84,-0.47,0.02,-0.38,0.31,0.78,0.79,0.89,0.73,0.6,0.42,0.7,0,-0.41,0.98,0.39,0.35,0.48,0.73,-0.38,0.85,0.72,0.55,0.76,0.95,0.98,0.72,0.38,0.92,0.7,1,0.96,0.8,0.96,0.82,0.95,0.86,0.78,0.67,0.5,0.91,-0.01,0.82,0.74,0.79,0.8,0.93,0.91,0.84,0.73
Q22,0.8,0.94,0.85,0.98,0.91,0.87,0.8,0.93,0.89,0.85,0.93,0.82,0.98,0.85,0.95,0.98,0.96,0.89,0.68,0.96,0.98,0.82,0.93,0.89,0.88,0.89,0.91,0.92,0.97,0.98,0.94,0.94,0.9,0.96,0.98,0.9,0.39,-0.42,0.92,0.96,0.89,0.98,0.98,0.99,0.58,0.96,0.97,1,0.94,0.97,0.93,0.97,0.98,0.98,0.99,0.78,0.95,0.99,0.95,0.59,0.99,0.93,0.82,0.94,0.97,0.95,0.99,0.98,0.46,1,0.93,0.72,0.99,0.96,0.95,0.94,1,0.93,0.92,0.95,0.89,0.91,0.7,0.98,0.88,0.98,0.94,0.99,0.85,0.85,0,0.97,0.78,-0.58,0.81,0.94,0.75,-0.15,0.87,0.87,0.88,0.72,0.96,0.85,0.98,0.84,0.93,0.39,0.96,0.87,0.93,0.95,0.61,0.9,0.76,0.7,-0.47,0.97,0.71,0.77,0.86,0.9,0.62,0.39,-0.76,0.82,0.3,0.99,0.93,0.53,0.86,0.96,0.81,0.74,0.87,-0.91,0.67,0.71,0.38,0.96,0.95,0.83,-0.34,1,0.99,0.93,0.75
