,Q1,Q10,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q109,Q11,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q12,Q13,Q14,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q17,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q19,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q2,Q20,Q200,Q201,Q202,Q203,Q204,Q205,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q3,Q30,Q31,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q44,Q46,Q48,Q49,Q5,Q56,Q58,Q59,Q62,Q63,Q67,Q69,Q7,Q71,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q89,Q9,Q90,Q92,Q98,Q99
Q177,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.98,0.99,1,1,0.99,1,0.98,1,0.99,0.99,1,1,1,1,0.99,0.99,1,1,1,0.98,0.9,0.69,0.93,1,1,0.95,0.99,0.86,0.9,0.79,0.41,0.95,0.97,0.45,1,0.55,-0.12,0.79,0.82,-0.58,-0.89,0.35,0,-0.86,0.79,1,-0.83,0.96,-0.25,0.83,0.97,0.53,0.85,-0.02,0.71,0.86,1,0.58,0.96,0.81,0.96,1,0.99,0.97,1,0.99,0.99,1,1,0.98,1,0.99,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,0.9,0.66,0.95,1,0.92,1,0.45,0.96,0.51,0.47,0.99,1,0.94,1,1,0.98,1,1,0.99,1,1,1,1,0.95,0.99,0.99,0.98,1,0.8,0.58,1,0.8,0.55,0.76,1
Q178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,1,1,1,0.99,0.98,0.93,1,1,0.99,0.99,0.8,0.31,0.37,-0.5,0.89,0.97,-0.89,1,-0.39,-0.36,0.76,0.47,-0.92,-0.97,0.02,-0.86,0,0.05,1,-0.74,0.87,0.11,0.74,0.88,0.87,0.89,-0.2,0.52,0.97,1,0.27,0.95,0.69,0.98,0.99,1,0.99,1,1,1,1,1,1,0.98,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,1,1,1,1,0.8,1,0.93,0.95,0.96,1,0.96,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.88,0.98,0.96,0.93,1,0.97,0.99,0.99,1
Q179,1,0.99,1,0.99,1,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,1,0.99,1,1,1,0.91,0.81,0.99,0.96,0.99,1,0.93,0.97,0.98,1,0.99,0.75,0.99,0.93,1,0.99,0.99,0.98,1,0.87,0.56,0.93,0.85,0.99,0.54,-0.55,1,0.92,0.88,0.65,0.62,-0.89,-0.75,0.17,0.79,0.05,0,1,-0.97,0.91,0.7,0.92,-0.12,0.4,0.75,0.99,0.82,0.89,1,0.46,0.98,1,0.98,0.98,0.95,0.99,1,0.99,1,1,1,0.99,0.73,0.96,1,0.89,0.96,1,0.99,1,0.99,1,1,1,1,1,1,0.99,1,0.99,1,0.92,1,1,1,0.99,1,1,1,1,1,0.95,1,1,0.98,0.99,0.43,1,0.87,0.91,0.9,1,0.97,0.99,0.99,0.99,0.99,0.98,0.93,1,1,1,0.99,0.99,0.99,0.99,0.79,0.53,0.78,0.67,1,0.6,0.99,0.99,0.97
Q18,0.72,0.35,0.13,0.99,0.92,0.88,0,0.12,-0.55,0.88,0.87,0.8,0.44,0.92,-0.12,-0.25,-0.53,0.97,0.35,0.73,0.91,0.51,0.97,-0.61,1,1,1,0.69,1,1,1,1,1,1,0.98,0.94,0.98,0.24,0.95,1,1,1,1,1,1,1,1,1,-0.99,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.99,1,1,1,1,-0.59,1,1,1,1,1,1,0.98,0.99,1,1,-0.76,-0.27,0.96,0.98,0.87,1,1,1,-0.88,0.82,0.74,-0.55,-1,0.2,-0.75,-0.14,0.85,1,-0.16,0.47,0.43,-0.33,0.98,0.95,0.99,0.9,0.93,-0.5,0.78,0.94,0.91,0.99,0.96,1,0.33,0.99,0.76,1,0.98,0.98,1,1,0.6,0.96,0.98,0.69,1,1,1,0.93,0.79,0.69,0.62,0.62,0.99,0.93,1,0.97,0.98,1,0.91,0.69,0.99,0.97,0.99,0.77
Q180,1,0.88,1,0.91,1,0.99,0.99,1,1,1,1,1,0.99,0.92,0.98,1,1,1,1,0.98,0.87,1,0.95,0.9,1,0.99,1,1,0.98,0.97,0.98,0.99,1,0.88,0.98,0.63,1,1,0.99,0.81,0.99,0.42,0.39,0.92,0.63,0.97,0.88,-0.74,1,0.31,0.29,0.29,0.43,-0.97,-1,-0.61,-0.83,-0.74,-0.97,1,0,0.69,0.58,0.84,0.55,0.61,0.2,0.61,0.74,0.58,1,-0.49,0.97,0.92,0.98,0.99,1,0.91,0.98,0.99,1,1,1,0.99,0.57,0.95,1,0.95,0.9,1,0.88,1,1,1,1,1,1,0.99,0.96,1,1,1,1,0.27,0.96,0.77,0.99,0.98,1,1,1,0.99,0.98,0.9,0.99,1,0.94,0.99,-0.58,0.95,0.65,0.4,0.65,1,0.87,0.97,1,0.81,0.9,0.95,0.88,1,1,1,0.99,0.81,0.92,0.97,0.63,0.69,0.4,0.3,1,-0.03,0.91,0.25,0.8
Q181,1,0.99,0.99,0.96,1,1,1,1,1,0.99,1,0.99,0.99,0.95,1,0.99,1,1,0.99,1,1,1,0.42,0.91,0.99,0.99,1,1,1,0.98,0.99,0.98,0.99,0.97,0.87,1,0.95,0.99,0.98,0.99,0.96,0.09,0.83,0.95,0.9,0.7,0.95,0.72,1,0.79,0.81,0.53,0.54,0.82,0.43,0.37,0.96,0.87,0.91,1,0.69,0,0.93,0.95,0.75,0.97,0.95,0.49,0.78,0.94,1,0.84,0.93,0.72,0.95,0.99,0.99,0.99,0.97,1,0.97,1,1,0.98,0.8,0.94,0.98,0.97,0.99,1,1,1,1,1,1,0.99,1,0.95,1,0.99,1,1,1,0.79,0.83,0.98,1,0.91,1,1,1,0.93,1,0.98,1,0.99,0.99,1,0.8,0.99,0.91,0.87,0.87,1,0.98,0.98,0.98,1,0.99,0.97,0.97,1,1,1,0.99,0.9,0.99,0.83,0.83,0.78,0.89,0.95,1,0.92,1,0.98,0.99
Q182,1,0.99,0.97,0.99,1,0.99,0.97,1,1,1,1,1,0.98,0.71,1,1,1,1,1,1,1,1,1,0.99,0.94,0.99,1,0.99,1,0.94,0.99,0.95,0.99,0.96,0.75,0.95,0.61,1,1,0.93,0.43,0.74,0.12,-0.6,-0.85,0.42,0.17,-0.46,1,-0.06,-0.47,0.38,0.87,0.22,0.15,0.72,-0.25,0.11,0.7,1,0.58,0.93,0,-0.94,0.63,-0.03,0.2,-0.29,0.66,0.88,1,0.37,0.9,0.76,0.99,0.99,0.89,0.54,0.87,0.79,0.94,1,1,0.78,0.83,0.87,1,0.91,0.63,1,0.99,1,0.99,1,1,1,1,0.99,1,1,1,1,1,0.69,0.94,0.96,1,0.98,1,1,1,1,1,1,1,1,1,1,0.73,1,0.94,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.96,1,1,0.83,0.96,0.99,0.99,1,0.93,1,0.98,0.96
Q183,1,0.99,0.96,0.99,1,0.84,0.91,0.99,1,0.98,0.99,1,1,0.8,1,1,1,1,1,1,1,1,0.99,1,0.97,0.98,0.97,1,0.92,0.92,0.99,0.97,0.99,0.79,0.65,1,0.64,0.99,0.99,0.93,0.48,0.51,0.49,0.12,-0.42,0.2,-0.17,-0.39,1,0.73,-0.34,-0.57,0.85,0.71,0.81,0.66,0.83,0.74,0.92,1,0.84,0.95,-0.94,0,0.24,0.62,0.72,0.54,0.63,0.96,1,0.81,0.98,0.35,0.96,0.93,0.66,0.97,1,0.44,0.67,1,1,0.72,0.84,0.77,1,0.99,0.79,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.91,1,1,0.96,1,1,1,0.95,1,1,1,0.98,1,1,0.64,0.99,0.95,0.97,1,1,0.94,0.99,1,1,1,1,0.99,1,1,1,1,0.86,1,0.99,0.94,0.93,0.99,1,0.99,0.82,1,0.93,0.94
Q184,1,1,0.98,0.95,1,0.95,0.98,1,1,0.98,0.99,1,0.99,0.96,1,1,1,1,1,1,1,1,0.91,0.93,0.96,0.27,0.97,1,0.54,-0.1,0.91,0.99,0.95,0.48,0.95,0.99,0.96,1,0.99,0.98,0.87,0.44,0.61,0.91,0.74,0.68,-0.88,-0.76,1,0.91,0.82,-0.1,0.14,0.68,0.54,0.22,0.97,0.88,-0.12,1,0.55,0.75,0.63,0.24,0,-0.76,-0.69,0.72,0.76,0.27,0.99,0.65,0.9,0.78,0.86,0.74,-0.68,0.87,0.98,0.73,0.94,0.99,0.99,0.72,0.39,0.83,1,0.81,0.68,1,0.98,1,0.99,1,1,1,1,0.99,1,1,1,0.99,1,0.93,0.97,0.99,1,0.93,1,1,1,0.99,1,0.99,0.99,0.99,1,0.99,0.75,1,0.7,0.99,0.91,1,0.95,1,1,1,1,0.97,1,1,1,1,1,0.78,1,1,0.99,0.71,0.94,0.99,1,0.99,1,0.96,1
Q185,0.99,0.98,0.86,0.99,0.98,0.6,0.91,0.97,0.99,1,1,1,1,0.98,1,1,1,1,1,0.99,1,1,0.99,0.67,0.6,-0.01,0.81,1,0.58,-0.03,0.69,0.97,0.5,0.77,0.96,0.99,0.84,0.98,0.99,1,0.89,0.93,-0.65,0.14,0.33,0.9,-0.88,-0.29,1,0.82,0.67,0.68,0.79,0.11,0.65,0.73,0.53,0.87,0.4,0.99,0.61,0.97,-0.03,0.62,-0.76,0,-1,0.41,0.66,0.94,1,0.85,0.8,0.73,0.98,0.94,-0.38,0.9,0.97,0.73,0.72,1,0.99,0.78,0.84,0.67,0.99,0.94,0.72,1,0.93,1,0.98,1,1,1,1,1,1,1,1,0.99,1,0.98,0.98,1,1,0.97,0.99,1,1,1,1,1,1,0.99,1,1,0.9,1,0.9,0.99,0.97,1,0.95,0.99,0.98,1,0.99,0.98,1,1,1,1,0.94,0.91,1,0.99,0.89,0.97,0.98,0.97,0.85,0.96,1,0.99,0.9
