#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_2798	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	7	3	0	0	0	0	1	0	3	0	3	0	0	1	11	2	2	2	0	26	2	1	0	0	0	0	9	4	0	0	0	0	2	1	0	1	0	0	7	2	0	40	55	0	5	5	1	1	4	25	17	0	0	9	9	2	9	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2902	0	0	1	0	0	1	0	1	0	0	0	7	0	0	1	0	2	3	0	0	0	0	0	5	28	0	0	0	0	0	0	105	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	2	4	19	17	3	16	0	1	49	0	0	2	0	1	1	0	0	0	0	1	0	2	0	0	1	4	1	1	0	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0
ASV_3011	0	0	10	1	1	25	22	8	0	0	1	3	0	0	0	0	0	0	0	1	0	2	4	3	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0	3	0	0	12	4	58	1	21	0	1	8	1	0	0	0	0	0	0	0	2	0	0	1	2	0	1	1	4	23	0	0	0	8	3	3	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	3	0	0	0	0	0	0	6	0	1	0	1	1	4	4	3	0	2	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	3	0	0	0	0	2	0	0	1	3	1	0	0	4	0	2	0	2	2	0	0	0
ASV_3035	0	5	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	8	63	15	5	0	0	1	36	6	9	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	3	4	1	0	0	0	37	0	5	0	0	1	0	1	0	2	0	0	0	0	2	2	0	0	0	0	0	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	16	1	0	0	1
ASV_4170	5	4	2	1	1	1	6	3	2	0	1	3	3	0	1	1	0	3	0	0	0	0	0	2	3	0	0	0	0	4	1	4	1	0	1	0	1	2	2	1	4	2	6	10	10	6	4	2	0	2	0	3	2	1	3	4	1	1	0	0	1	2	37	2	2	1	2	6	1	3	0	0	2	6	6	7	1	5	12	2	6	2	1	3	4	4	5	3	2	0	0	0	1	1	0	0	0	1	1	1	0	2	2	3	1	1	0	5	2	1	1	3	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	2	0	0	0	4	1	0	2	1	1	1	3	0	0	1	2
ASV_5964	0	1	4	5	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	9	15	1	6	0	6	1	2	4	2	16	8	4	0	0	0	0	1	1	5	1	0	1	9	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0	4	15	15	3	7	2	14	4	0	0	14	7	5	0	1	28	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	10	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	5	7	0	0	4	0	1	0	1
ASV_1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	69	0	0	222	0	0	0	0	0	0	0	0	0
ASV_1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	264	6	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1716	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	4	0	215	23	1	0	0	3	4	0	1	1	0	0	1	0	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0
ASV_1731	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	56	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	1	1	2	8	5	4	168	6	6	0	0	8	4	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_2068	0	0	1	0	0	0	0	1	0	0	10	0	0	0	1	1	3	0	7	0	0	0	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	4	0	0	1	1	0	0	4	3	0	0	0	1	0	3	3	0	0	22	0	0	0	0	0	3	0	0	0	10	0	3	7	0	13	0	0	1	0	0	3	1	1	10	0	0	5	0	1	1	0	2	3	3	2	2	103	0	0	0	0	0	0	0	0
ASV_2279	0	0	23	0	2	7	91	2	17	0	3	0	17	0	1	0	12	4	0	0	0	1	0	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	6	0	2	2	1	0	0	0	1	0	4	49	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2	1	1	0	1
ASV_3507	3	0	5	1	1	38	17	8	10	3	2	0	1	12	1	0	1	0	0	0	0	1	0	7	0	0	1	1	0	0	1	3	0	3	14	5	4	1	0	3	9	4	2	3	3	2	1	0	6	0	17	0	0	1	0	1	1	0	0	3	0	0	10	1	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	2	2	8	0	1	1	0	0	2	9	0	0	0	1	0	0	1	0	0	0	0	0	3	1	10	2	0	0	7	1	0	0	3	0	0	0	4	0	0	7	0	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	3	5	0	0	0
