#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_37	14	1	1	0	0	0	0	3	31	0	1	1	2	0	1	1	13	1	15	0	1	0	3	2	1	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	36	7	0	0	0	0	0	0	12	3	12	6	21	7	11	35	1	8	47	5	196	28	1	0	2	2	2	8	2	1	0	0	0	0	2	3	27	0	0	0	0	0	4	1	1	2	0	0	0	1	2	2	72	0	2	0	0	0	2	0	0	1	0	0	1	0
ASV_71	5	4	2	0	2	4	4	4	1	3	0	4	1	20	8	0	0	2	3	6	0	11	7	2	7	12	7	0	8	10	3	3	11	4	7	24	8	7	23	3	3	9	8	0	2	0	0	2	1	8	7	1	0	2	2	2	3	2	2	2	2	6	3	3	0	3	4	7	5	0	1	3	11	2	5	1	2	0	2	3	3	4	2	2	6	5	12	7	2	1	3	0	3	5	0	6	3	7	0	5	2	0	1	8	3	4	3	18	2	7	4	0	17	4	0	2	6	1	11	0	0	30	15	8	4	11	2	1	9	3	3	0	18	0	5	2	11	4	12	1	3	1	8	4	2	2	6
ASV_50	0	1	0	2	0	0	1	2	2	1	2	1	0	3	0	0	0	2	0	0	7	2	5	6	4	36	7	2	2	10	5	10	6	8	9	0	4	2	2	2	9	2	1	1	1	66	2	0	2	1	1	17	0	0	1	0	0	0	0	0	0	8	0	3	0	0	0	0	2	0	0	2	0	7	1	2	3	0	0	1	2	0	3	1	3	0	3	5	1	2	0	0	0	0	1	0	0	5	0	0	5	0	0	0	22	3	0	2	0	2	0	3	1	0	4	2	0	0	6	0	0	6	0	0	1	2	5	1	0	2	0	0	2	0	2	1	3	22	1	1	0	0	2	1	0	0	0
ASV_59	1	3	2	0	1	0	5	1	0	3	4	4	3	5	3	1	0	2	2	4	9	3	3	3	2	3	0	4	0	3	1	2	1	1	3	1	2	4	2	3	1	1	6	7	8	5	0	2	1	4	5	1	0	2	2	2	3	2	2	1	3	1	42	4	0	0	1	16	2	7	0	1	0	5	2	2	1	15	19	2	3	1	2	3	10	1	2	2	0	2	4	1	4	0	3	3	1	2	3	2	4	1	0	18	4	16	3	2	1	1	4	3	12	1	2	1	2	2	3	7	3	4	0	2	1	4	3	8	4	0	4	0	2	0	0	8	6	5	8	2	5	2	0	5	0	0	1
ASV_49	1	0	8	0	0	4	4	1	0	1	0	1	1	7	0	1	1	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	25	0	32	5	1	4	44	0	2	34	2	0	5	3	0	1	6	2	2	0	0	0	0	0	0	1	0	1	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	2	0	0	0	3	0	0	0	1	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	1	1	7
ASV_66	4	5	2	3	3	0	1	3	0	0	2	5	3	9	28	14	8	29	14	12	22	4	3	9	0	5	0	10	6	3	2	0	2	11	7	21	3	4	10	7	0	7	2	0	4	0	1	1	3	1	8	7	13	29	21	14	38	14	10	2	27	5	3	3	2	3	3	5	0	0	1	0	0	3	2	1	3	0	0	1	0	3	2	1	0	2	0	0	3	8	13	7	4	6	11	13	8	11	18	6	5	3	4	9	3	0	4	3	3	4	6	1	42	73	37	5	33	12	56	35	75	59	15	1	18	16	6	22	2	10	18	5	3	7	3	25	12	5	10	8	34	49	3	30	72	31	2
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	12	46	0	1	26	0	0	4	1	0	7	7	3	7	25	13	0	12	0	5	0	3	1	0	1	6	0	0	39	4	2	0	0	1	0	1	0	1	0	0	0	3	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	3	8	2	0	0	1	0	2	0	0	0	3	1	0	2	2	1	4	2	18	0	4	12	0	2	3	6	6	9	8	1	0	8	0	1	3	1	11	14	13	44	1	0	1	1	10	1	1	2	1	1	2	0	0	0	1	3	0	1	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ASV_92	0	4	4	0	3	3	11	6	2	1	3	1	3	3	4	0	1	1	0	2	3	0	1	2	1	0	0	3	0	1	0	1	0	1	1	2	5	4	0	1	3	1	8	11	14	9	5	3	5	6	5	5	1	7	1	4	1	4	0	4	6	0	10	8	1	10	5	0	1	0	0	1	0	0	0	1	0	0	1	0	0	3	2	0	0	2	2	0	1	0	11	2	0	5	3	0	2	0	1	1	0	1	0	1	3	0	2	2	1	1	1	3	1	0	1	3	0	1	7	0	7	0	1	3	3	5	2	0	0	0	0	0	1	3	2	4	0	1	1	2	0	4	3	6	1	4	5
ASV_107	4	1	5	10	3	3	1	5	0	5	1	3	7	5	4	3	6	4	6	2	0	1	3	3	3	5	7	3	2	7	6	1	5	0	8	2	0	4	3	1	0	7	1	3	3	4	3	4	3	3	0	5	4	0	0	0	0	0	1	5	1	7	0	1	2	4	0	1	1	0	7	1	2	2	0	0	2	0	7	2	2	7	7	1	1	2	6	2	0	4	2	14	12	7	0	6	5	4	0	9	13	1	8	4	6	7	4	5	2	22	7	3	3	4	11	3	1	7	3	0	4	3	3	5	1	0	1	1	1	0	3	6	0	4	1	2	1	5	8	7	2	11	3	1	0	0	1
