OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1493	Eukaryota	Lobosa	Tubulinea	Echinamoebida	Vermamoebidae	Hartmannella	Hartmannella_vermiformis
ASV_2331	Eukaryota	Lobosa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2778	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_virgaria
ASV_3939	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Unassigned	Unassigned
ASV_4688	Eukaryota	Apicomplexa	Gregarinomorphea	Neogregarinorida	Stylocephalidae	Xiphocephalus	Xiphocephalus_ellisi
ASV_6724	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	Unassigned
ASV_1531	Eukaryota	Lobosa	Tubulinea	Euamoebida	LOS7N/I-lineage	Ptolemeba	Ptolemeba_noxubium
ASV_1844	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_2121	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_2459	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Neocercomonas	Neocercomonas_jutlandica
ASV_4451	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.
ASV_1473	Eukaryota	Ciliophora	Nassophorea	Nassophorea_X	Microthoracida	Microthoracida_X	Microthoracida_X_sp.
ASV_2307	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_2895	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.
ASV_3006	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
ASV_3139	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
ASV_4181	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Group-Te	Group_Te_sp.
ASV_1938	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2236	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Colpodida	Unassigned	Unassigned
