#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	9	29	10	10169	11	14	18	13	22	0	32	6	6	9	9	6	13	8	7	8	0	6	5	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	7	37	1	1	1	1	1	1	0	1	0	81	0	0	0	0	0	1	2	1	0	138	79	60	5	0	1	3	1	8	0	5	0	1	2	1	480	211	1	4	173	1	12	7	1498	22	37	36	50	6	1	55	1	3	1	13	3	3	5	127	0	4	10	3	8	7	9	8	89	30	8	48	3	14	16	9	3	433	5	13	19	13	16	11	615	83	25	12	349	6	236	2	10	168	20	5	12	294	3	3	2	9	12	4	9	67	3	1428	8	2	14	309	61	0	0	178	97	1	7	2	1	13	86	405	156	49	45	26	19	36	40	1	96	2	72	366	88	107	108	6	5	2	667	1	2	1	0
ASV_42	0	0	14	33	10	10	17	14	11	3	9	0	13	4	11	10	8	16	8	13	12	4	0	0	52	6	17	0	19	16	17	847	16	20	5234	21	15	0	15	155	59	6	246	2200	24	20	18	8	0	15	9	12	15	2	5	5	9	5	11	0	6	12	5	15	0	1	2	1	2	3	0	5	4	2	2	0	0	41	3	3	1	0	0	2	2	0	162	15	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	8	0	15	10	9	11
ASV_38	0	0	0	4	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	20	3	11	11	48	11	14	6	0	8	5	5	6	27	1	9	69	23	3	0	83	1	862	5	19	22	29	20	260	506	0	6186	77	39	54	28	14	34	30	44	41	0	0	37	21	25	61	33	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	31	0	0	0	0	0	0	0	0	135	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
ASV_40	0	0	1	2	1	1	2	0	0	0	1	0	39	1	0	0	0	0	1	15	1	0	0	0	4	0	2	0	2	0	1	4	2	87	2	2	1	0	48	18	16	5	14	9	25	611	2	3	0	10	3	8	6	2	3	5	7	1	5	3	5	4	8	67	31	34	32	61	5834	120	0	123	25	320	84	48	34	64	44	255	166	0	0	71	52	49	121	78	22	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
ASV_45	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	31	19	32	23	32	33	27	15	1	25	14	29	28	12	18	24	20	14	15	0	13	17	8036	33	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	0	1	5	8	6	6	2	8	6	1	5	0	9	2	3	1	1	6	3	3	4	0	1	0	2434	2	69	0	14	7	5	692	40	29	36	2	10	0	7	16	3304	5	25	28	23	17	13	19	1	13	6	9	7	9	4	8	6	10	1	0	1	11	11	5	0	0	0	3	3	1	1	2	1	0	0	0	0	1	126	25	2	0	0	8	1	1	6	3	0	0	6	3	0	0	3	2	0	1	0	3	1	1	1	0	6	2	0	21	7	1	1	5	1	11	1	0	0	10	3	5	2	5	4	2	0	1	0	2	299	2	0	0	0	0	0	10	60	4	0	1	0	7	7	3	6	2	4
ASV_81	0	0	42	363	280	307	19	460	200	66	104	4	41	8	9	90	30	24	10	13	121	0	0	1	39	63	26	0	36	38	444	1641	30	52	129	78	17	1	19	497	32	6	50	39	15	18	6	5	2	184	0	6	3	2	3	43	14	28	8	2	1	9	10	2	7	3	6	2	29	12	0	88	0	148	22	16	24	9	12	6	10	0	1	7	9	5	632	78	2	0	1	1	2	0	5	4	0	0	5	3	1	1	0	0	37	4	1	4	4	3	34	74	0	1	0	1	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	0	7	139	29	141
ASV_43	0	0	2	3	2	1	7	4	4	1	2	0	2	1	1	0	1	2	4	1	2	0	0	0	6	1	5	0	7	4	0	10	14	10	7298	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
ASV_79	2	27	10	13	6	5	24	4	2484	7	7	3	6	126	16	2	114	185	9	17	10	74	5	4	18	6	12	5	41	24	4	33	14	29	55	6	11	2	28	0	0	18	1	0	0	0	0	0	129	0	0	1	1	0	0	0	0	1	0	53	0	0	0	0	10	4	11	35	26	343	2	52	2	10	20	7	6	32	741	754	237	4	1	144	115	8	31	32	30	2	2	0	3	4	0	1	0	3	1	2	1	5	6	25	1	91	1	348	0	1	13	54	40	11	26	5	1	0	10	2	2	0	3	48	0	2	0	0	3	1	3	0	1	1	3	0	0	2	0	65	43	7	9	2	12	8	8
ASV_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	23	43	18	38	20	5928	74	63	45	0	20	23	32	15	16	16	53	24	25	19	0	17	31	28	24	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	34	1	3	1	652	4	11	0	3	2	0	19	25	0	2	2	5	2	2	6	0	3	8	13	52	0	193	387	76	27	351	1131	18	0	9	0	7	0	0	0	6	0	0	26	0	7	1	1	0	0	0	0	0	1	0	0	10	36	0	0	0	0	0	0	2	0	3	2	1	6	0	0	1	0	2	1	455	95	1	0	0	3	3	2	4	1	2	0	0	0	0	0	0	0	0	8	0	0	0	0	3	344	0	259	0	54	0	0	0	8	56	287	0	0	0	1	123	0	59	50	94	1	0	39	1	1	8	26	32	0	2	0	1	6	31	56	1	175	38	907	1	6	1	0	8
ASV_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	22	32	176	122	133	37	782	673	478	0	465	4	11	483	11	242	30	19	83	7	0	7	177	540	132	2	97	67	1	19	23	0	12	1270	7	9	3	3	3	6	7	9	0	0	14	3	4	19	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	1	27	331	295	2	30	8	3	233	0	3	1	24	2	39	3	59	2	47	25	73	1	4	3	17	1	4	2	3	16	7	454	4	128	219	4	264	19	7	100	35	0	339	17	5	7	3	3	3	442	2	6	1	2	0	5	37	2	0	1	0	0	3	1	3	4	1	3	19	33	8	61	0	0	3	4	2	2	9	630	2	20	4	5	5	0	338	64	8	3	1	5	272	11	113	3	2	4	18	4	7	35	35	54	12	71	2	10	17	0	81	62	12	11	16	3	16	0	0	21	0	0	1	200	0	80	0	3	0	1	0	5	1	0	1	2	5	0	0	0	0	0	87	0	3	2	7
ASV_57	0	1	0	33	0	0	1	0	2	0	0	0	0	2	0	0	38	0	1	5	1	1	0	0	174	0	0	1	1	1	2	302	1	7	3	6	12	1	1	16	8	2	16	1	229	142	3	5	0	658	3	9	2	2	2	17	10	32	1	0	1	2	9	3	5	7	4	5	29	3023	0	57	5	13	21	119	2	11	116	33	18	0	0	80	10	10	82	139	10	2	0	2	0	2	18	1	0	0	5	1	0	0	1	0	0	43	1	0	15	0	1	0	0	0	0	0	12	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
ASV_121	1	1	0	16	0	14	1	12	0	0	0	0	0	0	2	0	0	0	1	3	0	3	10	1	0	2	0	1	0	1	2	2	0	5	5	60	1	3	3	48	30	16	671	1	3	9	10	23	16	12	4	3	571	0	5	4	9	2	5	0	4	3	3	12	32	30	15	4	282	2541	9	18	11	6	47	7	8	76	20	16	8	9	3	22	32	135	58	135	23	4	1	0	0	6	0	5	0	0	4	0	0	0	2	2	8	2	0	34	7	0	8	11	1	0	0	0	1	0	0	0	1	2	0	0	0	19	12	16	6	8	0	0	0	0	1	0	8	0	5	0	15	0	17	2	0	0	0
ASV_78	69	3	8	18	20	4	5	4	34	1	324	2	17	3	1	9	24	2	695	12	34	3	1	10	11	4	11	2	27	17	103	1323	8	14	39	2	7	3	11	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	1	7	4	0	0	3	0	0	1	65	0	86	64	1	7	0	0	2	4	0	20	7	1	56	5	13	3	37	4	8	151	14	22	967	4	1	7	65	17	92	6	29	5	0	0	0	3	0	20	0	20	1	1	0	6	0	2	0	1	1	0	0	500	2	0	0	3	1	1	1	2	0	3	3	3	2	3	9
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	7	1	15	22	0	8	4907	4	8	1	6	10	9	6	11	0	0	9	8	5	11	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	1	17	2	21	2	4	345	9	0	2	0	4	0	0	0	0	1	0	0	1	0	93	318	421	0	1	1	3	2	1	0	2	0	1	5	1	0	18	1	3	5	1	2	4	5	4	1	3	8	1	2	0	2	0	0	1	0	1	0	19	2	1	291	214	4	8	7	37	628	28	3	17	19	10	12	4	5	8	12	49	15	3	2	10	8	574	23	12	5	0	6	2	1	8	5	30	2	75	0	1	3	4	7	17	71	153	3	371	3	1	12	12	16	0	1	57	2	0	52	0	22	86	29	222	18	10	36	19	152	14	0	1	10	0	2	3	9	32	5	0	1	0	37	1	1	0	0
ASV_98	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	70	59	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	19	6	9	10	26	22	22	16	4	14	1	17	5	269	13	8	10	2	239	2	161	11	10	343	9	14	122	13	2327	45	2	97	9	19	19	16	9	11	13	22	24	3	1	23	16	10	37	20	6	2	2	1	0	3	1	2	0	105	3	0	1	3	3	2	3	3	2	96	1	1	3	3	13	0	0	151	1	1	3	0	0	8	2	4	21	69	1	1	1	36	1	1	97	0	2	0	1	2	0	0	1	0	2	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	6	0	0	15	0	0	228	0	0	0	2051	0	0	7	0	0	9	0	0	0	6	0	0	2	0	12	0	0	2443	0	0	0	5	0	0	9	0	0	0	9	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
