OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_173	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Scutylenchus	Scutylenchus_quadrifer
ASV_506	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Helicotylenchus	Unassigned
ASV_212	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Rotifera_XXX	Rotifera_XXX_sp.
ASV_380	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimus	Tylencholaimus_mirabilis
ASV_156	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Paratylenchus_neoamblicephalus
ASV_450	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_460	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_424	Eukaryota	Metazoa	Nematoda	Chromadorea	Haliplectoidea	Rhabdolaimus	Rhabdolaimus_terrestris
ASV_534	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Paravulvus	Paravulvus_hartingii
ASV_322	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Enchytraeus	Unassigned
ASV_368	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_204	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_destructor
ASV_334	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_320	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Panagrolaimus	Unassigned
ASV_288	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1676	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_350	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_278	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_649	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Unassigned
ASV_230	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Unassigned
ASV_471	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_545	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_destructor
ASV_383	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Macrobiotus	Macrobiotus_sp.
ASV_712	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_340	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Panagrolaimus	Unassigned
ASV_248	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Unassigned
ASV_275	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_494	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_477	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_240	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_606	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_593	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Unassigned	Unassigned
ASV_622	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
