SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
Q1	230	580.903225806452	556.803376399655	4.86227996253818	0.985499301006003	68.9621928166352
Q10	298	793.45652173913	912.899066149439	5.11033087118962	0.983196732545709	59.5122349102773
Q100	240	432.454545454545	575.536780208934	4.93909847275478	0.986620127981385	74.7391304347826
Q101	247	573.153846153846	628.921680613178	4.95406420217379	0.986400835747071	73.5339305711086
Q102	232	466	529.354007127601	4.81746602180343	0.981795698826482	54.9320729462941
Q103	251	605.371428571429	583.491661399091	5.01961566167646	0.987119626959544	77.6375029557815
Q104	194	521.5	581.591970525848	4.34960038934251	0.96488583098051	28.4785323965652
Q105	283	642.1	759.545778905904	5.15379442940534	0.987558211428171	80.3742962056303
Q106	239	498.883720930233	571.466925955391	4.81941342755488	0.9799987207953	49.9968021927821
Q107	250	469	492.887979532639	5.05865915602574	0.988666855501646	88.2367643106692
Q109	213	385.857142857143	430.079746989701	4.77275447385708	0.983349018819538	60.0565209438449
Q11	315	733.111111111111	817.148614589687	5.42127155691092	0.992863865208373	140.131882202305
Q110	231	450.837209302326	477.865522492189	4.79610031355443	0.979560136326672	48.9240053643272
Q111	264	486.283018867925	509.264626138288	5.16578819838241	0.989659762007011	96.7095729013255
Q112	269	639.227272727273	689.322385993858	5.03299047101522	0.985925702572724	71.0515040034625
Q113	299	829.146341463415	833.440066656668	5.21892142515243	0.986138903356085	72.1443638760712
Q114	217	391.6875	466.664289898962	4.59419195916773	0.973474776824466	37.6999655528763
Q115	287	669.061224489796	757.331273042859	5.1498728777199	0.987558211428171	80.3742962056303
Q116	255	577.142857142857	647.851797995013	5.05939166931107	0.989160263028852	92.253161000281
Q117	348	796.125	938.006721140888	5.60961690198555	0.994886226924822	195.550327575938
Q118	283	616.725490196078	741.793718166384	5.21544501315188	0.990281090004234	102.89219680351
Q12	310	674.881355932203	859.732864588653	5.38550376941709	0.992687213130732	136.746772178259
Q13	309	549.514285714286	592.591095448281	5.46176463678414	0.993759308498488	160.238653001464
Q14	297	687.196078431373	820.298933780223	5.30250205033054	0.991688215174414	120.31110296812
Q147	286	660.0625	784.979913190601	5.22021859422237	0.989970426005622	99.7051320983905
Q148	236	546.243902439024	634.717376742928	4.60984711213747	0.970965099031764	34.4413091366831
Q149	250	475.188679245283	591.266988786799	4.94846645077595	0.984396748383481	64.0892055436268
Q15	306	748.705882352941	896.647153291783	5.26707935659196	0.989434378321744	94.6465840299798
Q150	261	599.073170731707	622.116316732585	5.04263529181484	0.98524346006597	67.7665634674923
Q151	239	482.886363636364	547.682857019361	4.85479951016029	0.980175372872941	50.4423106467967
Q152	296	663.981132075472	812.619401797367	5.29606027646449	0.991444557136287	116.884656461374
Q153	277	627.066666666667	686.657827094029	5.21786747554699	0.990975515412894	110.809652379345
Q155	284	650.208333333333	712.484649983567	5.20989644622711	0.989470927027463	94.9751229389644
Q156	294	780.279069767442	849.98272523899	5.22600727348412	0.98946483557651	94.9202081526453
Q157	240	628.323529411765	699.284150240979	4.80281048991542	0.979474856013328	48.7207300786467
Q158	274	620.022727272727	612.996659634318	5.17723235525886	0.989708493614637	97.1675051790471
Q159	287	814.108108108108	834.660535714286	5.23626974894481	0.99039073612139	104.066244057052
Q16	308	674.125	756.482739384688	5.39492311032794	0.992577567013575	134.726713171933
Q160	324	758.263157894737	837.004760188312	5.41781373257972	0.991688215174414	120.31110296812
Q161	294	792.63829787234	898.201992723163	4.96531556227887	0.976782434692032	43.0708382526564
Q162	252	1000.68181818182	797.649217819647	4.79088415775614	0.975570235952353	40.9336741054731
Q163	315	846.404255319149	1024.481536575	5.41354114280063	0.993332906931767	149.990406578346
Q164	244	409.362068965517	475.773550338189	4.96556376472477	0.983763237484353	61.5886325267304
Q165	225	503.27027027027	572.487415143603	4.74611517553333	0.981308382750229	53.4999185269676
Q166	269	530.181818181818	602.385167811681	5.07103614509483	0.985809965004614	70.4719896973599
Q167	231	651.75	602.409607843384	4.6295173447517	0.967133576382226	30.4261884904087
Q168	214	456.384615384615	483.469227971953	4.51071048595359	0.971428049304204	34.999360409338
Q169	222	412.568181818182	448.825106770286	4.75758449596601	0.981418028867386	53.8156039993444
Q17	266	566.122448979592	649.466384054347	4.98587307595782	0.980382482205349	50.9748486259897
Q170	236	466.135135135135	434.253525732082	5.06410590292562	0.990104437926592	101.05540166205
Q171	272	543.78431372549	615.615583975039	5.23851080962269	0.991968421918259	124.508532423208
Q172	242	420.22	459.051368957143	5.02864706559025	0.987436382409108	79.5949090909091
Q173	212	351.468085106383	405.981997306334	4.82916599250243	0.986260732375148	72.7840833518067
Q174	251	764.035714285714	677.670859538784	4.94279200078226	0.985219094262158	67.6548526684525
Q175	269	530.528301886792	613.92739357555	5.14173860789862	0.98900188530407	90.9246746053725
Q176	200	297.348837209302	301.603655709812	4.79572685487067	0.983897249405322	62.1011916020427
Q177	260	657.459459459459	666.589674443672	5.0131120516844	0.98584042225938	70.6235749623575
Q178	264	627.375	653.282153766189	5.1209310721558	0.989653670556058	96.6526346776567
Q179	210	387.073170731707	450.172385337831	4.75156376664028	0.984628223519701	65.0542896770359
Q18	168	359.896551724138	385.266683669336	3.69198671659738	0.879130384461927	8.27337785057326
Q180	238	485.634146341463	498.547186018957	4.94635126209987	0.986748048451401	75.4605837738451
Q181	192	446.090909090909	533.145545780628	3.68149432328054	0.845706593081939	6.48115833316883
Q182	219	388.65	406.25853709224	4.91243115831715	0.98643738445279	73.7320907253537
Q183	202	399.75	381.523278184587	4.70112785089863	0.981777424473622	54.876984790239
Q184	237	472.222222222222	553.98368355248	4.82151384072854	0.978719516095136	46.9914126234435
Q185	195	571.875	630.715222610102	4.20599430403316	0.949888678733831	19.9555704126907
Q186	244	669.090909090909	686.010125701416	4.67043232200445	0.960445163235657	25.2813582813583
Q187	292	986.451612903226	921.571958453814	5.29265491425975	0.992297360269729	129.825622775801
Q188	184	352	441.036326688103	4.26868942386678	0.959567994298402	24.7328813559322
Q189	233	431.022222222222	470.27788803275	4.93273212270422	0.986169360610851	72.303237172429
Q19	176	461.6	530.284652545522	3.96757176114607	0.941628671241346	17.1316984085573
Q190	248	458.411764705882	493.332040822425	4.95363813255873	0.984183547600121	63.2253032928943
Q191	237	469	516.192151670338	4.93521319247232	0.987424199507202	79.5178009203197
Q192	322	831.714285714286	881.95834270605	5.4417625889771	0.993070974540781	144.32043956044
Q193	259	900.25	911.823745035747	4.75687135013202	0.971123476756546	34.630207783989
Q194	224	514.636363636364	525.883829802646	4.8428793894245	0.985895245317958	70.898078168862
Q195	296	714.428571428571	763.468118271763	5.17987456876701	0.98641911009993	73.6328773267549
Q196	315	769.865384615385	895.056556471488	5.38276826155139	0.992017153525884	125.26859977108
Q197	275	712.583333333333	677.333208525766	5.23120410497099	0.991554203253444	118.402091597548
Q198	354	994.188679245283	1193.42532895451	5.58736526473	0.994295356182366	175.295782167645
Q199	357	1061.9	1201.18310271195	5.5834624032342	0.993753217047535	160.082398829839
Q2	235	545	630.521066457172	4.75934678179445	0.979949989187675	49.8752848245481
Q20	271	629	667.678125765476	5.08393250556333	0.987747046407719	81.6129753914989
Q200	325	692.596774193548	801.379450627893	5.5186237207704	0.994386727946663	178.149213239284
Q201	349	812.21875	929.293331225554	5.57711749059966	0.994045606693286	167.943222506394
Q202	323	807.615384615385	880.325982610618	5.43420488025221	0.992608024268341	135.281829419036
Q203	326	764.175438596491	788.468223163192	5.44746864344026	0.992407006386886	131.70036101083
Q204	290	773.357142857143	852.648573848978	5.21747863981792	0.989976517456576	99.7657247037374
Q205	285	684	754.45338887433	5.23441398547141	0.990920692354315	110.140556860114
Q21	289	751.790697674419	853.95195977783	5.16634288348456	0.987150084214309	77.8215216876037
Q22	281	548.381818181818	627.843405218051	5.27581138674783	0.991992787722071	124.887409661468
Q23	169	403.107142857143	526.589617146071	3.89085202856124	0.933332115043143	14.9997258897163
Q24	211	386.777777777778	385.398272891254	4.79044649299964	0.982423118274657	56.8929128400624
Q25	240	636.028571428571	698.95499722743	4.5962084251226	0.963527437417956	27.4178705636743
Q26	247	565	657.839970736811	4.9775872437534	0.98749729691864	79.9827040194884
Q27	308	755.32	849.159178858631	5.33804646549055	0.990981606863847	110.884498480243
Q28	233	509.857142857143	608.099016853933	4.7657899936319	0.981820064630295	55.0056960964986
Q3	252	694.676470588235	702.089910782219	4.84915059235033	0.978676875938464	46.8974432223968
Q30	262	581.695652173913	664.778873853444	4.96818874908163	0.982758148077081	57.9984101748808
Q31	245	626.487179487179	790.595666836532	4.70621381494958	0.975746888029994	41.2318221775713
Q32	279	595.75	690.063979014995	5.15713593868976	0.988934879343585	90.3740710156895
Q33	143	317	314.757402346372	3.42945687237514	0.866563721145558	7.49421378192691
Q35	188	411.125	498.366890868489	4.40339137359043	0.972408772907663	36.2434043492659
Q36	300	746.666666666667	746.44784269581	5.3083623196654	0.990786680433346	108.538512396694
Q37	299	806.642857142857	774.153114705212	5.25418263395794	0.989678036359871	96.8807907937445
Q38	299	690.018518518518	801.646640782288	5.157043841063	0.984189639051074	63.2496628780582
Q39	223	505	515.165671872129	4.68123786882146	0.976380398929123	42.3377176015474
Q4	310	700.6	853.089673913044	5.22169427011077	0.984981527674985	66.5846684242547
Q40	281	602.132075471698	720.170726876609	5.15812131900049	0.988526752129724	87.1592779400053
Q41	283	527.444444444444	610.161914621916	5.18317234497949	0.988149082170628	84.3816499614495
Q42	255	532.468085106383	570.84055316679	4.97496500168873	0.985060716537376	66.9376146788991
Q44	313	719.188679245283	814.1831209112	5.43369668282959	0.993460827401783	152.924545877969
Q46	210	297.549019607843	318.024681571729	4.90989703191719	0.986674951039963	75.0466285714286
Q48	187	270.6	261.752676527385	4.70422429058935	0.976940812416814	43.3666622639017
Q49	226	373.162790697674	367.326318893341	5.01600997549609	0.988465837620192	86.6989701610774
Q5	262	563.960784313726	717.571315456603	4.862721289577	0.978092096646961	45.645627693591
Q56	167	213.121951219512	225.675404369352	4.534420517935	0.979389575699984	48.5191369883257
Q58	208	337.5	400.645947137204	4.78294839606009	0.98537747198694	68.387627577588
Q59	144	203.111111111111	201.111283131278	4.3354087463308	0.973633154549248	37.9264179276886
Q62	178	259.617647058824	261.269886450026	4.71965106377349	0.985334831830268	68.188785046729
Q63	177	254.294117647059	249.588656470361	4.62246892817096	0.975436224031383	40.7103533787973
Q67	173	355.75	291.860992227372	4.56290850308073	0.978329663234134	46.1460295151089
Q69	274	485.137931034483	538.727443250809	5.29070603034683	0.992668938777872	136.405899459909
Q7	273	573.584905660377	739.311719368905	5.11996031427872	0.988910513539773	90.1755012359242
Q71	253	519.217391304348	589.722845747375	5.03703553002643	0.987911515583454	82.7233560090703
Q73	250	560.026315789474	557.917812026848	5.07628835878893	0.989568390242714	95.8624817518248
Q74	266	449.196721311475	528.953779012101	5.23206941951046	0.991907507408727	123.571321038766
Q75	314	660.147540983607	781.525091309945	5.42626396700273	0.99299178567839	142.689700130378
Q76	218	567.21875	631.136103151862	4.29823490160613	0.937011351418851	15.8758764082975
Q77	272	509.368421052632	573.068424372	5.14068818785986	0.987899332681548	82.6400704757111
Q78	256	533.468085106383	619.550847327641	5.03093855248332	0.98794197283822	82.9323061379136
Q79	231	479.763157894737	502.131356993187	4.94519635100647	0.98747902256578	79.865969350523
Q8	223	537.27027027027	774.604622248226	4.70886278021093	0.98267895921469	57.7332512748373
Q80	180	650.647058823529	522.708748765149	4.09002037408718	0.955297887180237	22.3703072835048
Q81	228	479.666666666667	658.962228537798	4.68553988738946	0.979432215856656	48.6197245668592
Q82	264	489.509090909091	568.034298377494	5.1595673090788	0.990110529377545	101.117647058824
Q83	319	702.416666666667	790.40061616705	5.43114307074817	0.992748127640263	137.895422091558
Q84	312	708.105263157895	801.645272455762	5.30104269054644	0.988873964834054	89.8792773063236
Q85	274	565.382978723404	612.991418407374	5.2666153484403	0.992315634622589	130.134363852556
Q86	310	642.803278688525	749.727899565775	5.41872855416645	0.993113614697453	145.214064573198
Q87	287	562	598.87519889204	5.27027040913575	0.990025249064201	100.253129770992
Q89	275	555.716981132075	571.935824936095	5.12194769647576	0.985998799984162	71.4224494235371
Q9	262	524.826086956522	550.960155809439	5.14363610129855	0.989550115889854	95.6948411541825
Q90	341	904.962264150943	1029.27786961825	5.51534180372302	0.992833407953608	139.536336591585
Q92	214	559.206896551724	558.120773171567	4.5466386313404	0.970934641776998	34.4052184847532
Q98	263	710.894736842105	828.810497852432	4.94474521773155	0.983860700699603	61.9605585959615
Q99	248	470.127659574468	497.63098340095	5.04105260822006	0.98772877205486	81.4914370811616
